pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
264;100000;201;0,00201
265;100000;695;0,00695
266;100000;275;0,00275
267;100000;169;0,00169
268;100000;670;0,0067
269;100000;211;0,00211
270;100000;290;0,0029
271;100000;507;0,00507
272;100000;338;0,00338
273;100000;158;0,00158
274;100000;696;0,00696
275;100000;657;0,00657
276;100000;330;0,0033
277;100000;228;0,00228
278;100000;78;0,00078
279;100000;603;0,00603
280;100000;129;0,00129
281;100000;545;0,00545
282;100000;352;0,00352
283;100000;580;0,0058
284;100000;625;0,00625
285;100000;511;0,00511
286;100000;152;0,00152
287;100000;657;0,00657
288;100000;205;0,00205
289;100000;504;0,00504
290;100000;295;0,00295
291;100000;637;0,00637
292;100000;28;0,00028
293;100000;413;0,00413
294;100000;620;0,0062
295;100000;391;0,00391
296;100000;587;0,00587
297;100000;407;0,00407
298;100000;569;0,00569
299;100000;403;0,00403
300;100000;402;0,00402
301;100000;608;0,00608
302;100000;359;0,00359
303;100000;212;0,00212
304;100000;58;0,00058
305;100000;381;0,00381
306;100000;309;0,00309
307;100000;222;0,00222
308;100000;439;0,00439
309;100000;263;0,00263
310;100000;375;0,00375
311;100000;361;0,00361
312;100000;581;0,00581
313;100000;516;0,00516
314;100000;333;0,00333
315;100000;636;0,00636
316;100000;380;0,0038
317;100000;312;0,00312
318;100000;174;0,00174
319;100000;449;0,00449
320;100000;119;0,00119
321;100000;155;0,00155
322;100000;637;0,00637
323;100000;504;0,00504
324;100000;26;0,00026
325;100000;662;0,00662
326;100000;254;0,00254
327;100000;372;0,00372
328;100000;530;0,0053
329;100000;547;0,00547
330;100000;105;0,00105
331;100000;731;0,00731
332;100000;218;0,00218
333;100000;571;0,00571
334;100000;35;0,00035
335;100000;113;0,00113
336;100000;615;0,00615
337;100000;82;0,00082
338;100000;511;0,00511
339;100000;243;0,00243
340;100000;474;0,00474
341;100000;672;0,00672
342;100000;218;0,00218
343;100000;607;0,00607
344;100000;395;0,00395
345;100000;445;0,00445
346;100000;543;0,00543
347;100000;44;0,00044
348;100000;701;0,00701
349;100000;298;0,00298
350;100000;102;0,00102
351;100000;179;0,00179
352;100000;649;0,00649
353;100000;349;0,00349
354;100000;68;0,00068
355;100000;428;0,00428
356;100000;58;0,00058
357;100000;80;0,0008
358;100000;241;0,00241
359;100000;52;0,00052
360;100000;558;0,00558
361;100000;420;0,0042
362;100000;547;0,00547
363;100000;140;0,0014
364;100000;473;0,00473
365;100000;466;0,00466
366;100000;158;0,00158
367;100000;697;0,00697
368;100000;564;0,00564
369;100000;78;0,00078
370;100000;601;0,00601
371;100000;117;0,00117
372;100000;388;0,00388
373;100000;382;0,00382
374;100000;405;0,00405
375;100000;459;0,00459
376;100000;406;0,00406
377;100000;94;0,00094
378;100000;107;0,00107
379;100000;618;0,00618
380;100000;64;0,00064
381;100000;475;0,00475
382;100000;471;0,00471
383;100000;347;0,00347
384;100000;498;0,00498
385;100000;225;0,00225
386;100000;376;0,00376
387;100000;45;0,00045
388;100000;409;0,00409
389;100000;275;0,00275
390;100000;95;0,00095
391;100000;99;0,00099
392;100000;250;0,0025
393;100000;504;0,00504
394;100000;397;0,00397
395;100000;164;0,00164
396;100000;578;0,00578
397;100000;105;0,00105
398;100000;713;0,00713
399;100000;252;0,00252
400;100000;201;0,00201
401;100000;550;0,0055
402;100000;214;0,00214
403;100000;186;0,00186
404;100000;579;0,00579
405;100000;595;0,00595
406;100000;653;0,00653
407;100000;317;0,00317
408;100000;19;0,00019
409;100000;664;0,00664
410;100000;663;0,00663
411;100000;659;0,00659
412;100000;183;0,00183
413;100000;231;0,00231
414;100000;508;0,00508
415;100000;206;0,00206
416;100000;76;0,00076
417;100000;368;0,00368
418;100000;673;0,00673
419;100000;51;0,00051
420;100000;568;0,00568
421;100000;461;0,00461
422;100000;561;0,00561
423;100000;100;0,001
424;100000;676;0,00676
425;100000;465;0,00465
426;100000;576;0,00576
427;100000;562;0,00562
428;100000;511;0,00511
429;100000;208;0,00208
430;100000;399;0,00399
431;100000;536;0,00536
432;100000;177;0,00177
433;100000;24;0,00024
434;100000;251;0,00251
435;100000;655;0,00655
436;100000;145;0,00145
437;100000;477;0,00477
438;100000;638;0,00638
439;100000;696;0,00696
440;100000;676;0,00676
441;100000;194;0,00194
442;100000;323;0,00323
443;100000;660;0,0066
444;100000;363;0,00363
445;100000;276;0,00276
446;100000;267;0,00267
447;100000;696;0,00696
448;100000;466;0,00466
449;100000;727;0,00727
450;100000;613;0,00613
451;100000;463;0,00463
452;100000;305;0,00305
453;100000;308;0,00308
454;100000;286;0,00286
455;100000;540;0,0054
456;100000;621;0,00621
457;100000;623;0,00623
458;100000;440;0,0044
459;100000;510;0,0051
460;100000;302;0,00302
461;100000;90;0,0009
462;100000;24;0,00024
463;100000;514;0,00514
464;100000;548;0,00548
465;100000;668;0,00668
466;100000;76;0,00076
467;100000;29;0,00029
468;100000;70;0,0007
469;100000;261;0,00261
470;100000;559;0,00559
471;100000;332;0,00332
472;100000;117;0,00117
473;100000;332;0,00332
474;100000;364;0,00364
475;100000;359;0,00359
476;100000;648;0,00648
477;100000;689;0,00689
478;100000;472;0,00472
479;100000;469;0,00469
480;100000;309;0,00309
481;100000;212;0,00212
482;100000;382;0,00382
483;100000;75;0,00075
484;100000;416;0,00416
485;100000;559;0,00559
486;100000;149;0,00149
487;100000;700;0,007
488;100000;584;0,00584
489;100000;703;0,00703
490;100000;560;0,0056
491;100000;475;0,00475
492;100000;120;0,0012
493;100000;358;0,00358
494;100000;227;0,00227
495;100000;704;0,00704
496;100000;597;0,00597
497;100000;129;0,00129
498;100000;119;0,00119
499;100000;199;0,00199
500;100000;487;0,00487
501;100000;439;0,00439
502;100000;288;0,00288
503;100000;420;0,0042
504;100000;213;0,00213
505;100000;39;0,00039
506;100000;410;0,0041
507;100000;85;0,00085
508;100000;205;0,00205
509;100000;715;0,00715
510;100000;631;0,00631
511;100000;348;0,00348
512;100000;437;0,00437
513;100000;660;0,0066
514;100000;332;0,00332
515;100000;375;0,00375
516;100000;423;0,00423
517;100000;452;0,00452
518;100000;128;0,00128
519;100000;93;0,00093
520;100000;350;0,0035
521;100000;27;0,00027
522;100000;560;0,0056
523;100000;198;0,00198
524;100000;200;0,002
525;100000;610;0,0061
526;100000;31;0,00031
527;100000;211;0,00211
528;100000;747;0,00747
529;100000;286;0,00286
530;100000;303;0,00303
531;100000;596;0,00596
532;100000;91;0,00091
533;100000;172;0,00172
534;100000;88;0,00088
535;100000;353;0,00353
536;100000;306;0,00306
537;100000;585;0,00585
538;100000;114;0,00114
539;100000;637;0,00637
540;100000;502;0,00502
541;100000;152;0,00152
542;100000;460;0,0046
543;100000;646;0,00646
544;100000;584;0,00584
545;100000;54;0,00054
546;100000;165;0,00165
547;100000;337;0,00337
548;100000;428;0,00428
549;100000;214;0,00214
550;100000;68;0,00068
551;100000;57;0,00057
552;100000;733;0,00733
553;100000;660;0,0066
554;100000;704;0,00704
555;100000;415;0,00415
556;100000;401;0,00401
557;100000;347;0,00347
558;100000;739;0,00739
559;100000;576;0,00576
560;100000;117;0,00117
561;100000;411;0,00411
562;100000;142;0,00142
563;100000;1014;0,01014
564;100000;677;0,00677
565;100000;617;0,00617
566;100000;127;0,00127
567;100000;670;0,0067
568;100000;76;0,00076
569;100000;195;0,00195
570;100000;674;0,00674
571;100000;127;0,00127
572;100000;661;0,00661
573;100000;430;0,0043
574;100000;738;0,00738
575;100000;298;0,00298
576;100000;694;0,00694
577;100000;431;0,00431
578;100000;211;0,00211
579;100000;614;0,00614
580;100000;191;0,00191
581;100000;574;0,00574
582;100000;370;0,0037
583;100000;183;0,00183
584;100000;455;0,00455
585;100000;494;0,00494
586;100000;190;0,0019
587;100000;577;0,00577
588;100000;488;0,00488
589;100000;474;0,00474
590;100000;151;0,00151
591;100000;722;0,00722
592;100000;126;0,00126
593;100000;197;0,00197
594;100000;491;0,00491
595;100000;519;0,00519
596;100000;698;0,00698
597;100000;195;0,00195
598;100000;224;0,00224
599;100000;374;0,00374
600;100000;63;0,00063
601;100000;139;0,00139
602;100000;245;0,00245
603;100000;553;0,00553
604;100000;175;0,00175
605;100000;421;0,00421
606;100000;210;0,0021
607;100000;686;0,00686
608;100000;354;0,00354
609;100000;662;0,00662
610;100000;697;0,00697
611;100000;525;0,00525
612;100000;309;0,00309
613;100000;667;0,00667
614;100000;22;0,00022
615;100000;521;0,00521
616;100000;258;0,00258
617;100000;166;0,00166
618;100000;634;0,00634
619;100000;147;0,00147
620;100000;141;0,00141
621;100000;552;0,00552
622;100000;391;0,00391
623;100000;125;0,00125
624;100000;28;0,00028
625;100000;622;0,00622
626;100000;643;0,00643
627;100000;510;0,0051
628;100000;463;0,00463
629;100000;318;0,00318
630;100000;325;0,00325
631;100000;178;0,00178
632;100000;422;0,00422
633;100000;114;0,00114
634;100000;128;0,00128
635;100000;276;0,00276
636;100000;144;0,00144
637;100000;690;0,0069
638;100000;657;0,00657
639;100000;681;0,00681
640;100000;403;0,00403
641;100000;32;0,00032
642;100000;369;0,00369
643;100000;472;0,00472
644;100000;633;0,00633
645;100000;151;0,00151
646;100000;586;0,00586
647;100000;337;0,00337
648;100000;500;0,005
649;100000;459;0,00459
650;100000;358;0,00358
651;100000;666;0,00666
652;100000;135;0,00135
653;100000;311;0,00311
654;100000;153;0,00153
655;100000;730;0,0073
656;100000;296;0,00296
657;100000;662;0,00662
658;100000;315;0,00315
659;100000;358;0,00358
660;100000;437;0,00437
661;100000;99;0,00099
662;100000;433;0,00433
663;100000;163;0,00163
664;100000;57;0,00057
665;100000;641;0,00641
666;100000;50;0,0005
667;100000;357;0,00357
668;100000;320;0,0032
669;100000;244;0,00244
670;100000;475;0,00475
671;100000;394;0,00394
672;100000;732;0,00732
673;100000;397;0,00397
674;100000;716;0,00716
675;100000;292;0,00292
676;100000;256;0,00256
677;100000;740;0,0074
678;100000;697;0,00697
679;100000;77;0,00077
680;100000;303;0,00303
681;100000;322;0,00322
682;100000;513;0,00513
683;100000;367;0,00367
684;100000;660;0,0066
685;100000;140;0,0014
686;100000;69;0,00069
687;100000;193;0,00193
688;100000;107;0,00107
689;100000;316;0,00316
690;100000;675;0,00675
691;100000;704;0,00704
692;100000;627;0,00627
693;100000;261;0,00261
694;100000;686;0,00686
695;100000;125;0,00125
696;100000;128;0,00128
697;100000;119;0,00119
698;100000;101;0,00101
699;100000;629;0,00629
700;100000;679;0,00679
701;100000;184;0,00184
702;100000;227;0,00227
703;100000;500;0,005
704;100000;472;0,00472
705;100000;461;0,00461
706;100000;536;0,00536
707;100000;645;0,00645
708;100000;545;0,00545
709;100000;577;0,00577
710;100000;378;0,00378
711;100000;144;0,00144
712;100000;519;0,00519
713;100000;107;0,00107
714;100000;219;0,00219
715;100000;661;0,00661
716;100000;466;0,00466
717;100000;436;0,00436
718;100000;205;0,00205
719;100000;145;0,00145
720;100000;44;0,00044
721;100000;571;0,00571
722;100000;635;0,00635
723;100000;129;0,00129
724;100000;438;0,00438
725;100000;516;0,00516
726;100000;73;0,00073
727;100000;578;0,00578
728;100000;629;0,00629
729;100000;312;0,00312
730;100000;623;0,00623
731;100000;693;0,00693
732;100000;253;0,00253
733;100000;290;0,0029
734;100000;446;0,00446
735;100000;666;0,00666
736;100000;674;0,00674
737;100000;81;0,00081
738;100000;372;0,00372
739;100000;604;0,00604
740;100000;518;0,00518
741;100000;191;0,00191
742;100000;158;0,00158
743;100000;662;0,00662
744;100000;29;0,00029
745;100000;57;0,00057
746;100000;184;0,00184
747;100000;694;0,00694
748;100000;164;0,00164
749;100000;711;0,00711
750;100000;546;0,00546
751;100000;209;0,00209
752;100000;93;0,00093
753;100000;281;0,00281
754;100000;455;0,00455
755;100000;299;0,00299
756;100000;510;0,0051
757;100000;550;0,0055
758;100000;522;0,00522
759;100000;156;0,00156
760;100000;696;0,00696
761;100000;561;0,00561
762;100000;128;0,00128
763;100000;191;0,00191
764;100000;500;0,005
765;100000;257;0,00257
766;100000;508;0,00508
767;100000;62;0,00062
768;100000;698;0,00698
769;100000;560;0,0056
770;100000;295;0,00295
771;100000;139;0,00139
772;100000;390;0,0039
773;100000;387;0,00387
774;100000;665;0,00665
775;100000;667;0,00667
776;100000;704;0,00704
777;100000;37;0,00037
778;100000;467;0,00467
779;100000;231;0,00231
780;100000;252;0,00252
781;100000;180;0,0018
782;100000;338;0,00338
783;100000;369;0,00369
784;100000;508;0,00508
785;100000;241;0,00241
786;100000;437;0,00437
787;100000;570;0,0057
788;100000;693;0,00693
789;100000;535;0,00535
790;100000;168;0,00168
791;100000;584;0,00584
792;100000;338;0,00338
793;100000;538;0,00538
794;100000;394;0,00394
795;100000;699;0,00699
796;100000;438;0,00438
797;100000;586;0,00586
798;100000;147;0,00147
799;100000;492;0,00492
800;100000;71;0,00071
801;100000;404;0,00404
802;100000;463;0,00463
803;100000;133;0,00133
804;100000;35;0,00035
805;100000;284;0,00284
806;100000;326;0,00326
807;100000;431;0,00431
808;100000;213;0,00213
809;100000;732;0,00732
810;100000;668;0,00668
811;100000;583;0,00583
812;100000;239;0,00239
813;100000;144;0,00144
814;100000;116;0,00116
815;100000;347;0,00347
816;100000;660;0,0066
817;100000;496;0,00496
818;100000;195;0,00195
819;100000;238;0,00238
820;100000;220;0,0022
821;100000;423;0,00423
822;100000;158;0,00158
823;100000;291;0,00291
824;100000;90;0,0009
825;100000;635;0,00635
826;100000;674;0,00674
827;100000;120;0,0012
828;100000;177;0,00177
829;100000;519;0,00519
830;100000;453;0,00453
831;100000;259;0,00259
832;100000;94;0,00094
833;100000;437;0,00437
834;100000;237;0,00237
835;100000;622;0,00622
836;100000;492;0,00492
837;100000;144;0,00144
838;100000;380;0,0038
839;100000;47;0,00047
840;100000;402;0,00402
841;100000;158;0,00158
842;100000;281;0,00281
843;100000;50;0,0005
844;100000;91;0,00091
845;100000;290;0,0029
846;100000;636;0,00636
847;100000;491;0,00491
848;100000;276;0,00276
849;100000;415;0,00415
850;100000;133;0,00133
851;100000;216;0,00216
852;100000;189;0,00189
853;100000;105;0,00105
854;100000;348;0,00348
855;100000;246;0,00246
856;100000;682;0,00682
857;100000;162;0,00162
